지역,예보일,오전날씨,오후날씨,오전강수확률,오후강수확률,최저기온,최고기온
서울,2026-03-30,흐림,흐리고 비,40,60,10,17
서울,2026-03-31,흐리고 비,구름많음,60,20,7,17
서울,2026-04-01,맑음,맑음,10,20,6,17
서울,2026-04-02,맑음,구름많음,20,20,7,15
전주,2026-03-30,흐리고 비,흐리고 비,70,80,10,19
전주,2026-03-31,흐리고 비,구름많음,60,30,7,17
전주,2026-04-01,맑음,맑음,10,20,5,18
전주,2026-04-02,맑음,구름많음,20,20,7,17
대전,2026-03-30,흐리고 비,흐리고 비,70,70,10,18
대전,2026-03-31,흐리고 비,구름많음,60,20,7,18
대전,2026-04-01,맑음,맑음,10,20,5,19
대전,2026-04-02,맑음,구름많음,20,20,7,17
광주,2026-03-30,흐리고 비,흐리고 비,80,80,11,19
광주,2026-03-31,흐리고 비,구름많음,60,30,9,18
광주,2026-04-01,맑음,맑음,10,20,6,18
광주,2026-04-02,맑음,구름많음,20,30,7,16
부산,2026-03-30,흐리고 비,흐리고 비,80,90,12,18
부산,2026-03-31,흐리고 비,구름많음,60,30,12,17
부산,2026-04-01,맑음,맑음,10,10,10,17
부산,2026-04-02,맑음,구름많음,10,20,10,17
울산,2026-03-30,흐리고 비,흐리고 비,80,90,10,18
울산,2026-03-31,흐리고 비,구름많음,60,30,10,17
울산,2026-04-01,맑음,맑음,10,10,7,17
울산,2026-04-02,맑음,구름많음,10,20,7,17
